Problem;candidateStateSearch;kbsc;main;wall-clock;max resident set size;Input States;Obs States;outputAPs
ampelv3;0,1715;0,0013;0,1985;0,21;19412;6;6;1
crossingv1;0,148;0,0032;0,1604;0,18;19996;9;8;2
crossingv2;0,1414;0,003;0,154;0,16;20296;9;8;2
detect_globally;0,0588;0,0009;0,0682;0,08;19460;5;4;1
detect_next;0,0567;0,0009;0,0662;0,08;19212;5;4;1
electricity_repair;0,0283;0,0071;0,0444;0,06;19744;3;4;2
light_bulb;0,0614;0,001;0,0738;0,09;19416;5;6;1
nas_01;0,0012;0,0005;0,0102;0,02;19288;4;4;1
numberv1;0,1059;0,0025;0,1186;0,14;20184;5;6;2
numberv4;0,4785;0,0329;0,5477;0,57;20508;9;13;4
numberv6;1,5779;0,2925;2,1288;2,19;26260;13;23;6
random_01;0,1543;0,0023;0,1673;0,19;19436;10;9;1
three_coins;0,1811;0,0073;0,2139;0,23;20408;9;15;3
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
